[1.08923598 2.50336659]
[1.08923503 2.50336655]
[1.08923414 2.50336648]
[1.08923333 2.5033664 ]
[1.08923262 2.50336631]
[1.08923199 2.5033662 ]
[1.08923142 2.50336619]
[1.08923093 2.50336613]
[1.08926943 2.50339087]
[1.08930405 2.50341318]
[1.08933525 2.50343328]
[1.08936339 2.50345139]
[1.08938869 2.50346774]
[1.08941135 2.50348238]
[1.08943186 2.5034956 ]
[1.08945025 2.50350749]
[1.08946682 2.50351821]
[1.08948164 2.50352786]
[1.089495   2.50353651]
[1.08950702 2.50354429]
[1.08951775 2.50355141]
[1.08952747 2.50355772]
[1.08953613 2.50356347]
[1.08954394 2.50356859]
[1.08955096 2.50357318]
[1.08955725 2.50357737]
[1.08956291 2.50358114]
[1.08956802 2.5035845 ]
[1.08957254 2.50358751]
[1.08957659 2.50359027]
[1.08958024 2.50359287]
[1.08958361 2.50359513]
[1.08958663 2.50359712]
[1.08958928 2.50359896]
[1.08959168 2.50360064]
[1.0895938  2.50360221]
[1.08959577 2.50360352]
[1.08959756 2.5036047 ]
[1.08959907 2.50360572]
[1.08960049 2.50360668]
[1.08960174 2.50360755]
[1.08960285 2.50360831]
[1.08960387 2.50360897]
[1.08954995 2.50360275]
[1.08950151 2.50359715]
[1.08945788 2.50359213]
[1.08941855 2.5035876 ]
[1.08938321 2.50358355]
[1.08935141 2.50357997]
[1.08932271 2.50357671]
[1.08929686 2.50357376]
[1.08927364 2.50357107]
[1.08925275 2.50356875]
[1.0892339  2.50356668]
[1.08921698 2.50356475]
[1.08920171 2.50356301]
[1.08918794 2.5035615 ]
[1.08917561 2.50356006]
[1.0891645 2.5035588]
[1.08915445 2.50355765]
[1.08914543 2.50355664]
[1.08913725 2.50355575]
[1.08912989 2.50355495]
[1.08912327 2.50355422]
[1.08911737 2.5035536 ]
[1.08911204 2.50355308]
[1.08910726 2.50355256]
[1.08910294 2.5035521 ]
[1.08909904 2.50355172]
[1.08909555 2.50355138]
[1.08909242 2.50355113]
[1.08908955 2.50355093]
[1.08908697 2.50355065]
[1.08908465 2.50355044]
[1.08908256 2.50355031]
[1.08908071 2.50355025]
[1.08907906 2.50355017]
[1.08907758 2.50355003]
[1.08907625 2.50354987]
[1.08907504 2.50354977]
[1.08902077 2.50350699]
[1.08897189 2.50346846]
[1.08892794 2.5034338 ]
[1.08888839 2.50340258]
[1.08885278 2.50337445]
[1.08882075 2.50334912]
[1.08879189 2.50332632]
[1.08876593 2.50330577]
[1.0887426  2.50328733]
[1.08872162 2.50327075]
[1.08870273 2.50325576]
[1.08868569 2.50324227]
[1.08867038 2.50323004]
[1.08865662 2.50321909]
[1.08864428 2.50320917]
[1.08863303 2.50320018]
[1.08862292 2.50319205]
[1.08861384 2.5031848 ]
[1.08860568 2.50317826]
[1.08859818 2.50317251]
[1.08859141 2.50316735]
[1.08858539 2.50316273]
[1.08857995 2.50315858]
[1.08862087 2.50318151]
[1.08865782 2.50320213]
[1.08869097 2.50322069]
[1.08872089 2.50323736]
[1.08874775 2.50325232]
[1.08877186 2.50326581]
[1.08879355 2.50327792]
[1.08881317 2.50328877]
[1.08883075 2.5032986 ]
[1.08884665 2.50330738]
[1.08886098 2.50331531]
[1.08883187 2.50330356]
[1.08880562 2.50329293]
[1.088782   2.50328335]
[1.08876079 2.50327472]
[1.08874166 2.50326699]
[1.08872445 2.50326004]
[1.08870889 2.50325376]
[1.08869496 2.50324805]
[1.08868248 2.50324287]
[1.08867113 2.50323826]
[1.08866102 2.50323417]
[1.08865187 2.50323037]
[1.08864363 2.50322688]
[1.08863617 2.5032237 ]
[1.08862957 2.50322083]
[1.08862364 2.50321829]
[1.08861827 2.50321596]
[1.08861343 2.50321392]
[1.08860903 2.50321213]
[1.08860499 2.50321052]
[1.08860131 2.50320911]
[1.08859794 2.50320786]
[1.08859488 2.50320673]
[1.08863807 2.50323233]
[1.08867695 2.50325536]
[1.08871192 2.50327613]
[1.0887434  2.50329479]
[1.08877174 2.50331157]
[1.08879728 2.50332671]
[1.0888202  2.50334025]
[1.08884082 2.50335247]
[1.08885945 2.50336343]
[1.08887625 2.50337324]
[1.08889136 2.50338206]
[1.08886285 2.50337117]
[1.08883717 2.50336138]
[1.08881407 2.50335259]
[1.08879335 2.50334466]
[1.08877464 2.50333744]
[1.08875787 2.50333088]
[1.08874276 2.503325  ]
[1.0887291  2.50331981]
[1.08871682 2.50331502]
[1.08870577 2.50331069]
[1.08869582 2.50330682]
[1.08868686 2.50330331]
[1.08867875 2.50330016]
[1.08867145 2.50329725]
[1.08866497 2.50329459]
[1.08865911 2.5032922 ]
[1.08865389 2.50329004]
[1.08864912 2.5032881 ]
[1.08864481 2.5032864 ]
[1.08864086 2.50328488]
[1.08863731 2.50328353]
[1.08863401 2.50328234]
[1.08863107 2.5032813 ]
